"","degree","normalised.degree","nestedrank","species.strength","interaction.push.pull","PDI","resource.range","species.specificity.index","PSI","node.specialisation.index.NSI","betweenness","weighted.betweeness","closeness","weighted.closeness","Fisher.alpha","partner.diversity","effective.partners","proportional.similarity","proportional.generality","d"
"Andean Emerald",1,0.03125,0.842105263157895,0.142857142857143,-0.857142857142857,1,1,1,0.142857142857143,1.5,0,0,0.0494505494505494,0.0375698140352426,0.319257335418221,0,1,0.104925053533191,0.0443110385120469,0.435242372669639
"Booted Racket-tail",6,0.1875,0.263157894736842,1.92417800453515,0.154029667422525,0.950537634408602,0.838709677419355,0.503672510344474,0.444119972550424,1.27777777777778,0.0611456176673568,0.0693333333333333,0.0567765567765568,0.0947632335704137,2.00417326700438,1.44565628401157,4.24463691626239,0.281133776625718,0.188084269866159,0.588720862180602
"Brown Inca",12,0.375,0.105263157894737,3.78781161571605,0.232317634643005,0.922201138519924,0.645161290322581,0.35937073955629,0.420114578870548,1,0.240976535541753,0.248,0.0659340659340659,0.0899658233719478,4.59450053425385,2.12649587374723,8.38543165809863,0.405707745698885,0.371567185142146,0.460347758413992
"Buff-tailed Coronet",2,0.0625,0.631578947368421,0.929499072356215,-0.0352504638218924,0.996774193548387,0.967741935483871,0.910702384048369,0.828301568561309,1.44444444444444,0.0131815044858523,0,0.0512820512820513,0.0266423612146931,0.715330569455624,0.304636097349238,1.35613141338627,0.114463694763481,0.0600915912859558,0.863983880443321
"Collared Inca",6,0.1875,0.315789473684211,0.818149234278267,-0.0303084609536222,0.972350230414747,0.838709677419355,0.562049802875499,0.246695240243627,1.38888888888889,0.0521911663216011,0.048,0.0531135531135531,0.0432859497142376,4.32190678745298,1.41051355711484,4.09805945133898,0.25037061439631,0.181589270172939,0.440570969272571
"Fawn-breasted Brilliant",2,0.0625,0.789473684210526,0.0777126099706745,-0.461143695014663,0.967741935483871,0.967741935483871,0.695608343640252,0.0388563049853372,1.55555555555556,0.00664251207729469,0,0.0476190476190476,0.011064083229883,17872.483199054,0.693147180559945,2,0.113490364025696,0.0886220770240939,0.18629922282144
"Gorgeted Sunangel",5,0.15625,0.368421052631579,1.89121863799283,0.178243727598566,0.986922406277245,0.870967741935484,0.71935051616569,0.507854287289771,1.5,0.0208937198067633,0.0613333333333333,0.0494505494505494,0.0818114496104332,1.36347972960331,0.966564835805426,2.62889823353135,0.271948608137045,0.11648921087026,0.644953918192556
"Green-crowned Brilliant",3,0.09375,0.578947368421053,0.382258064516129,-0.205913978494624,0.935483870967742,0.935483870967742,0.558415577316077,0.12741935483871,1.55555555555556,0.0106280193236715,0,0.0476190476190476,0.0108712619461471,26518.5586544692,1.09861228866811,3,0.0963597430406852,0.132933115536141,0.386090682823758
"Green-crowned Woodnymph",2,0.0625,0.684210526315789,0.296518607442977,-0.351740696278511,0.975806451612903,0.967741935483871,0.703138829320514,0.160692848567999,1.44444444444444,0.0093167701863354,0,0.0512820512820513,0.0319597180096914,0.935404516141207,0.682908104700472,1.97962633005252,0.141327623126338,0.0877192985504193,0.412607535200168
"Green-fronted Lancebill",3,0.09375,0.473684210526316,0.694444444444444,-0.101851851851852,0.974193548387097,0.935483870967742,0.643256846655065,0.33641975308642,1.55555555555556,0.00483091787439614,0,0.0476190476190476,0.0262612746536075,1.57578414109913,0.936888307539016,2.55202792428089,0.137044967880086,0.11308300763663,0.585209818435807
"Hoary Puffleg",1,0.03125,0.894736842105263,0.0483870967741935,-0.951612903225806,1,1,1,0.0483870967741935,1.72222222222222,0,0,0.0421245421245421,0.015880190031942,0.525260979927648,0,1,0.132762312633833,0.0443110385120469,0.216928511502294
"Purple-bibbed Whitetip",2,0.0625,0.736842105263158,0.261224489795918,-0.369387755102041,0.975806451612903,0.967741935483871,0.703138829320514,0.140524781341108,1.5,0,0,0.0494505494505494,0.0340343367548905,0.935404516141207,0.682908104700472,1.97962633005252,0.147751605995717,0.0877192985504193,0.38565465219681
