Time,Frame,X,Y
0:0:15 ,15,0.04,174.0
0:0:27 ,27,0.06,41.26
0:6:49 ,409,0.97,53.54
0:6:51 ,411,0.98,70.0
0:6:52 ,412,0.98,68.0
0:6:53 ,413,308.5,61.0
0:6:54 ,414,0.99,106.0
0:6:55 ,415,0.99,116.5
0:6:57 ,417,0.99,120.0
0:6:59 ,419,1.0,113.0
0:7:3 ,423,1.01,119.5
0:7:5 ,425,320.5,110.0
0:7:5 ,425,269.0,82.0
0:7:7 ,427,333.0,90.0
0:7:7 ,427,313.0,77.5
0:7:11 ,431,184.5,36.5
0:7:13 ,433,180.0,22.0
0:7:23 ,443,1.05,38.5
0:7:25 ,445,450.0,37.0
0:7:27 ,447,228.0,48.0
0:7:31 ,451,9.0,35.0
0:7:41 ,461,1.1,21.5
0:7:45 ,465,1.11,40.5
0:7:49 ,469,1.12,25.5
0:7:55 ,475,1.13,39.5
0:7:57 ,477,1.14,100.5
0:7:59 ,479,315.85,57.35
0:8:0 ,480,1.14,117.0
0:8:1 ,481,348.5,132.0
0:8:7 ,487,1.16,204.5
0:8:9 ,489,1.16,197.0
0:8:11 ,491,1.17,200.0
0:8:15 ,495,1.18,228.5
0:8:17 ,497,174.5,248.5
0:8:37 ,517,1.23,44.0
0:8:39 ,519,7.5,69.0
0:8:41 ,521,1.24,94.76
0:8:42 ,522,4.5,91.5
0:8:43 ,523,213.0,176.0
0:8:43 ,523,199.5,198.0
0:8:43 ,523,34.0,94.5
0:8:43 ,523,7.5,92.5
0:8:44 ,524,199.0,198.5
0:8:44 ,524,33.5,93.0
0:8:45 ,525,224.5,188.5
0:8:45 ,525,40.0,102.5
0:8:46 ,526,1.25,105.0
0:8:57 ,537,1.28,80.06
0:9:1 ,541,1.29,108.39
0:9:3 ,543,52.28,126.52
0:9:3 ,543,42.0,109.0
0:9:4 ,544,48.5,129.5
0:9:5 ,545,54.05,122.5
0:9:7 ,547,1.3,132.0
0:9:9 ,549,146.5,172.0
0:9:13 ,553,188.0,169.0
0:9:14 ,554,210.5,169.0
